날짜,고객ID,성별,연령대,상품카테고리,결제금액,반품여부,재구매여부
2024-01-01,C049,남,20대,화장품,115000,N,N
2024-01-01,C062,여,30대,의류,146000,N,Y
2024-01-01,C065,남,30대,가전,135000,N,Y
2024-01-01,C101,남,40대,가전,207000,N,N
2024-01-01,C119,남,40대,의류,61000,N,N
2024-01-01,C131,남,40대,도서,24000,N,N
2024-01-01,C132,여,40대,가전,60000,N,N
2024-01-01,C186,여,50대,식품,15000,N,N
2024-01-02,C066,여,30대,가전,34000,N,N
2024-01-02,C074,여,30대,의류,155000,N,Y
2024-01-02,C076,여,30대,의류,138000,Y,N
2024-01-02,C139,남,40대,의류,77000,N,N
2024-01-02,C162,여,50대,의류,58000,N,N
2024-01-02,C196,여,50대,식품,15000,N,N
2024-01-03,C002,여,20대,식품,43000,N,N
2024-01-03,C012,여,20대,가전,204000,N,N
2024-01-03,C065,남,30대,가전,288000,N,N
2024-01-03,C100,여,30대,의류,31000,N,Y
2024-01-03,C140,여,40대,가전,313000,N,N
2024-01-03,C152,여,50대,식품,33000,N,N
2024-01-04,C026,여,20대,가전,115000,N,N
2024-01-04,C035,남,20대,의류,20000,N,N
2024-01-04,C077,남,30대,화장품,47000,N,N
2024-01-04,C081,남,30대,의류,78000,N,N
2024-01-04,C093,남,30대,식품,35000,N,N
2024-01-04,C117,남,40대,가전,187000,N,N
2024-01-04,C127,남,40대,가전,264000,N,N
2024-01-04,C146,여,40대,의류,,Y,N
2024-01-04,C148,여,40대,가전,308000,N,N
2024-01-04,C151,남,50대,화장품,105000,N,N
2024-01-04,C188,여,50대,식품,26000,N,N
2024-01-05,C014,여,20대,의류,124000,N,N
2024-01-05,C023,남,20대,화장품,110000,Y,N
2024-01-05,C040,여,20대,식품,39000,N,N
2024-01-05,C055,남,30대,가전,182000,N,N
2024-01-05,C097,남,30대,가전,105000,N,N
2024-01-05,C099,남,30대,가전,239000,N,N
2024-01-05,C150,여,40대,도서,22000,N,N
2024-01-06,C034,여,20대,식품,33000,N,N
2024-01-06,C098,여,30대,가전,315000,N,N
2024-01-06,C111,남,40대,화장품,67000,N,N
2024-01-06,C147,남,40대,의류,83000,N,N
2024-01-06,C153,남,50대,화장품,45000,N,N
2024-01-06,C190,여,50대,식품,66000,N,N
2024-01-06,C193,남,50대,도서,16000,N,N
2024-01-06,C199,남,50대,식품,10000,N,N
2024-01-07,C009,남,20대,도서,29000,N,N
2024-01-07,C019,남,20대,가전,336000,N,N
2024-01-07,C087,남,30대,화장품,113000,N,N
2024-01-07,C120,여,40대,가전,84000,N,N
2024-01-07,C164,여,50대,도서,17000,N,N
2024-01-08,C024,여,20대,의류,15000,Y,N
2024-01-08,C047,남,20대,의류,57000,N,N
2024-01-08,C088,여,30대,가전,308000,N,N
2024-01-08,C100,여,30대,의류,84000,Y,N
2024-01-08,C124,여,40대,가전,307000,N,N
2024-01-08,C137,남,40대,화장품,77000,N,N
2024-01-08,C149,남,40대,가전,276000,N,N
2024-01-08,C168,여,50대,의류,100000,N,N
2024-01-08,C187,남,50대,의류,143000,N,Y
2024-01-08,C195,남,50대,식품,22000,N,N
2024-01-09,C013,남,20대,식품,51000,N,N
2024-01-09,C054,여,30대,가전,128000,N,N
2024-01-09,C056,여,30대,화장품,85000,N,N
2024-01-09,C090,여,30대,식품,56000,N,Y
2024-01-09,C109,남,40대,가전,,N,N
2024-01-09,C157,남,50대,도서,10000,N,N
2024-01-09,C158,여,50대,식품,62000,N,N
2024-01-09,C160,여,50대,식품,37000,N,N
2024-01-10,C044,여,20대,가전,184000,N,N
2024-01-10,C100,여,30대,식품,16000,N,N
2024-01-10,C121,남,40대,가전,201000,Y,N
2024-01-10,C123,남,40대,가전,327000,N,N
2024-01-11,C016,여,20대,가전,220000,N,N
2024-01-11,C051,남,30대,가전,92000,N,N
2024-01-11,C144,여,40대,의류,95000,Y,N
2024-01-11,C193,남,50대,의류,125000,N,N
2024-01-12,C039,남,20대,식품,14000,N,N
2024-01-12,C045,남,20대,의류,,N,N
2024-01-12,C057,남,30대,도서,20000,N,N
2024-01-12,C095,남,30대,의류,33000,N,N
2024-01-12,C197,남,50대,의류,178000,N,N
2024-01-13,C024,여,20대,의류,,Y,N
2024-01-13,C047,남,20대,가전,53000,N,N
2024-01-13,C052,여,30대,의류,108000,N,N
2024-01-13,C062,여,30대,식품,58000,N,N
2024-01-13,C067,남,30대,의류,91000,Y,N
2024-01-13,C085,남,30대,도서,9000,N,N
2024-01-13,C094,여,30대,화장품,40000,Y,N
2024-01-13,C135,남,40대,의류,111000,N,N
2024-01-13,C175,남,50대,의류,156000,N,N
2024-01-13,C181,남,50대,식품,23000,N,N
2024-01-13,C185,남,50대,화장품,105000,N,N
2024-01-13,C198,여,50대,도서,22000,N,N
2024-01-14,C031,남,20대,가전,282000,Y,N
2024-01-14,C046,여,20대,의류,163000,N,N
2024-01-14,C049,남,20대,의류,136000,Y,N
2024-01-14,C071,남,30대,식품,5000,N,N
2024-01-14,C116,여,40대,식품,59000,N,N
2024-01-14,C138,여,40대,식품,63000,N,N
2024-01-14,C193,남,50대,의류,148000,N,N
2024-01-15,C035,남,20대,가전,128000,N,N
2024-01-15,C068,여,30대,의류,25000,N,N
2024-01-15,C084,여,30대,화장품,119000,N,N
2024-01-15,C086,여,30대,식품,14000,N,N
2024-01-15,C115,남,40대,의류,164000,Y,N
2024-01-15,C126,여,40대,식품,22000,N,N
2024-01-15,C133,남,40대,의류,103000,N,N
2024-01-15,C142,여,40대,가전,154000,N,N
2024-01-16,C027,남,20대,가전,312000,N,N
2024-01-16,C038,여,20대,도서,10000,N,N
2024-01-16,C048,여,20대,가전,149000,N,N
2024-01-16,C054,여,30대,의류,135000,Y,Y
2024-01-16,C064,여,30대,가전,155000,N,N
2024-01-16,C070,여,30대,의류,153000,N,N
2024-01-16,C115,남,40대,식품,6000,N,N
2024-01-16,C129,남,40대,식품,19000,N,N
2024-01-16,C147,남,40대,의류,83000,N,N
